coun,date,confirmed
ARG,2021-02-01,1933853.0
ARG,2021-02-02,1943548.0
ARG,2021-02-03,1952744.0
ARG,2021-02-04,1961635.0
ARG,2021-02-05,1970009.0
ARG,2021-02-06,1976689.0
ARG,2021-02-07,1980347.0
ARG,2021-02-08,1985501.0
ARG,2021-02-09,1993295.0
ARG,2021-02-10,2001034.0
ARG,2021-02-11,2008345.0
ARG,2021-02-12,2015496.0
ARG,2021-02-13,2021553.0
ARG,2021-02-14,2025798.0
ARG,2021-02-15,2029057.0
ARG,2021-02-16,2033060.0
ARG,2021-02-17,2039124.0
ARG,2021-02-18,2046795.0
ARG,2021-02-19,2054681.0
ARG,2021-02-20,2060625.0
ARG,2021-02-21,2064334.0
ARG,2021-02-22,2069751.0
ARG,2021-02-23,2077228.0
ARG,2021-02-24,2085411.0
ARG,2021-02-25,2093645.0
ARG,2021-02-26,2098728.0
ARG,2021-02-27,2104197.0
ARG,2021-02-28,2107365.0
ARG,2021-03-01,2112023.0
ARG,2021-03-02,2118676.0
ARG,2021-03-03,2126531.0
ARG,2021-03-04,2133963.0
ARG,2021-03-05,2141854.0
ARG,2021-03-06,2146714.0
ARG,2021-03-07,2149636.0
ARG,2021-03-08,2154694.0
ARG,2021-03-09,2162001.0
ARG,2021-03-10,2169694.0
ARG,2021-03-11,2177898.0
ARG,2021-03-12,2185747.0
ARG,2021-03-13,2192025.0
ARG,2021-03-14,2195722.0
ARG,2021-03-15,2201886.0
ARG,2021-03-16,2210121.0
ARG,2021-03-17,2218425.0
ARG,2021-03-18,2226753.0
ARG,2021-03-19,2234913.0
ARG,2021-03-20,2241739.0
ARG,2021-03-21,2245771.0
ARG,2021-03-22,2252172.0
ARG,2021-03-23,2261577.0
ARG,2021-03-24,2269877.0
ARG,2021-03-25,2278115.0
ARG,2021-03-26,2291051.0
ARG,2021-03-27,2301389.0
ARG,2021-03-28,2308597.0
ARG,2021-03-29,2322611.0
ARG,2021-03-30,2332765.0
ARG,2021-03-31,2348821.0
ARG,2021-04-01,2363251.0
ARG,2021-04-02,2373153.0
ARG,2021-04-03,2383537.0
ARG,2021-04-04,2393492.0
ARG,2021-04-05,2407159.0
ARG,2021-04-06,2428029.0
ARG,2021-04-07,2450068.0
ARG,2021-04-08,2473751.0
ARG,2021-04-09,2497881.0
ARG,2021-04-10,2517300.0
ARG,2021-04-11,2532562.0
ARG,2021-04-12,2551999.0
ARG,2021-04-13,2579000.0
ARG,2021-04-14,2604157.0
ARG,2021-04-15,2629156.0
ARG,2021-04-16,2658628.0
ARG,2021-04-17,2677747.0
ARG,2021-04-18,2694014.0
ARG,2021-04-19,2714475.0
ARG,2021-04-20,2743620.0
ARG,2021-04-21,2769552.0
ARG,2021-04-22,2796768.0
ARG,2021-04-23,2824652.0
ARG,2021-04-24,2845872.0
ARG,2021-04-25,2860884.0
ARG,2021-04-26,2879677.0
ARG,2021-04-27,2905172.0
ARG,2021-04-28,2928890.0
ARG,2021-04-29,2954943.0
ARG,2021-04-30,2977363.0
ARG,2021-05-01,2993865.0
ARG,2021-05-02,3005259.0
ARG,2021-05-03,3021179.0
ARG,2021-05-04,3047417.0
ARG,2021-05-05,3071496.0
ARG,2021-05-06,3095582.0
ARG,2021-05-07,3118134.0
ARG,2021-05-08,3136158.0
ARG,2021-05-09,3147740.0
ARG,2021-05-10,3165121.0
ARG,2021-05-11,3191097.0
ARG,2021-05-12,3215572.0
ARG,2021-05-13,3242103.0
ARG,2021-05-14,3269466.0
ARG,2021-05-15,3290935.0
ARG,2021-05-16,3307285.0
ARG,2021-05-17,3335965.0
ARG,2021-05-18,3371508.0
ARG,2021-05-19,3411160.0
ARG,2021-05-20,3447044.0
ARG,2021-05-21,3482512.0
ARG,2021-05-22,3514683.0
ARG,2021-05-23,3539484.0
ARG,2021-05-24,3562135.0
ARG,2021-05-25,3586736.0
