,0
0,1308050128
1,1274479359
2,1626068590
3,1146885120
4,1541220979
5,36859834
6,1203369807
7,1989759621
8,70213029
9,1177301296
10,37264330
11,37765917
12,1069438409
13,1886393142
14,16886040
15,1310265573
16,13467718
17,1385678513
18,1339557107
19,1199185736
20,36388446
21,1238279882
22,1636101910
23,38289242
24,1876373893
25,16885890
26,1609519097
27,1570836131
28,19494321
29,35055861
30,32164641
31,1010866310
32,1205131570
33,37197957
34,1308050128
35,1214973590
36,525384203
37,1029487558
38,16885844
39,1780156244
40,35992593
41,1376015896
42,1389132207
43,1292775098
44,13016415
45,21608244
46,19878342
47,1419520717
48,11611243
49,83192724
50,1292775098
51,1876373893
52,1892541407
53,1691390948
54,37766370
55,1044419982
56,1335813166
57,1230534126
58,36269591
59,1554528371
60,16888580
61,36812592
62,1668139213
63,37882839
64,36513237
65,1764464799
66,1737919751
67,1118872447
68,1271203564
69,1636101910
70,1196124840
71,1272814113
72,16885844
73,1554528371
74,1723410470
75,32713629
76,1294171203
77,1774560702
78,16886875
79,84349018
80,1753513935
81,67671356
82,19867519
83,34014820
84,1974126202
85,1792504609
86,16883382
87,1773810139
88,16886859
89,1670575725
90,1094744974
91,1112783831
92,1177600126
93,1776382371
94,1803478976
95,1423425181
96,38738029
97,33225559
98,1873360920
99,1173780831
100,1199185736
101,37197957
102,150663740
103,1849597025
104,1528203196
105,37920412
106,1374135287
107,1878565797
108,1653601714
109,76158690
110,16885586
111,418568797
112,1752915211
113,1014927542
114,1441681333
115,1062696378
116,1671603916
117,1166998372
118,16886831
119,36188661
120,1744698773
121,1274479359
122,1352302071
123,1129270932
124,697109858
125,1352302071
126,1105632765
127,1165341883
128,16889509
129,1585586242
130,36465064
131,1094785181
132,36263124
133,1070440821
134,38289242
135,1548606997
136,16730399
137,34783277
138,1817807934
139,21702850
140,1038507021
141,1103297964
142,1693761387
143,1129270932
144,1831207503
145,1813709359
146,1527695746
147,203150079
148,142602502
149,1696558952
150,1308050128
151,1129270932
152,11686693
153,1937899818
154,16886001
155,1429479801
156,38332430
157,1337061265
158,637290305
159,1533078951
160,1716342527
161,38555620
162,36655347
163,1336982501
164,17035167
165,1710788233
166,1346958057
167,1248471781
168,1337314494
169,125159529
170,19728695
171,1105769209
172,1585586242
173,1000265011
174,37883169
175,1455840441
176,36896929
177,37097862
178,11664582
179,1270542848
180,1547351949
181,1456803833
182,1982069275
183,33919944
184,38520617
185,37917032
186,1221361243
187,19873497
188,13542160
189,1647202079
190,1796704605
191,1353786546
192,1630967492
193,31561555
194,1553753990
195,11795768
196,37026293
197,1729610778
198,1560889944
199,1139034978
200,1609519097
201,1554528371
202,921352039
203,1454410175
204,1725120379
205,37747075
206,1241763504
207,1539580668
208,1055700956
209,37653648
210,1700992768
211,911417592
212,1792450574
213,1899541511
214,1624718599
215,1317765792
216,16886689
217,16887117
218,37580970
219,1482070767
220,1679904879
221,1329337139
222,76158690
223,1039634629
224,1978420372
225,1047721384
226,1639108504
227,1323177218
228,1477150252
229,1804598844
230,16883406
231,1285533331
232,33876607
233,1672706913
234,1481348670
235,1441802666
236,1381187507
237,1940037495
238,367661523
239,1035818639
240,1928145108
241,1960687059
242,1535058103
243,13023900
244,37274354
245,1982547420
246,1430333092
247,20681084
248,1385034899
249,1759237525
250,16885844
251,1010866310
252,1398457430
253,1609477179
254,1115818267
255,1620606114
256,1163139653
257,16886317
258,34186887
259,1714908461
260,35156677
261,1805634848
262,20027629
263,1296174702
264,21695360
265,32765881
266,1684369186
267,1347676363
268,100297077
269,1701939786
270,1623500411
271,1920052669
272,38289242
273,37197957
274,38513851
275,1556834031
276,1680411979
277,31850459
278,1463855458
279,1186596126
280,1081149674
281,36831112
282,16888668
283,38555763
284,1389061850
285,1369850859
286,1624268860
287,1426188785
288,1000265011
289,1975493740
290,16885860
291,1619813646
292,11795783
293,1778854242
294,1852102806
295,1970435900
296,1861919940
297,1738237551
298,1656367693
299,20981000
