,0
0,16943092
1,1289898000
2,17069378
3,1241083032
4,1639542730
5,1747589122
6,1474440673
7,37534496
8,810995268
9,16947222
10,1289898000
11,1503806574
12,1516247337
13,1881920232
14,1076013975
15,1694312549
16,1107501886
17,1254564010
18,1969497561
19,35678728
20,1554821265
21,635657792
22,1254564010
23,1503806574
24,1344547583
25,1092896410
26,1058859367
27,13286289
28,32359127
29,1923461323
30,1383042284
31,1896845952
32,1775214043
33,1991440455
34,37812375
35,130649329
36,881739252
37,1578577127
38,31519899
39,37909515
40,1289898000
41,16943092
42,36016398
43,1605149893
44,21608177
45,1581736406
46,1036578905
47,1565908025
48,1275795861
49,1296261166
50,36796528
51,1716289221
52,1410123271
53,1938080866
54,17072404
55,1950243741
56,1163392518
57,34509501
58,36422482
59,1807015750
60,1041680634
61,1546577090
62,1896845952
63,1254564010
64,1786295161
65,38591445
66,37182661
67,1587405184
68,37523081
69,1710377994
70,1331009124
71,37873378
72,1876101737
73,37168368
74,12024289
75,1530309352
76,1052843503
77,16943150
78,1239482265
79,1094433605
80,229484320
81,1331754140
82,1876405922
83,1574584992
84,1928310679
85,236406990
86,1971781560
87,1737596146
88,31192453
89,32587800
90,16941494
91,1116979650
92,1240189467
93,1657222219
94,1230861414
95,1359549644
96,1886116690
97,1060271737
98,1262896059
99,33253738
100,1331295583
101,16946788
102,1025955787
103,35436115
104,1606618617
105,1617560891
106,16942476
107,1358027402
108,1344391960
109,1418571995
110,32848742
111,16943092
112,35212923
113,1743712619
114,1690866262
115,37915053
116,1065251202
117,1595620412
118,16946755
119,16942748
120,1636315076
121,37559042
122,1187481103
123,1110968036
124,1542786197
125,1878700526
126,1560056381
127,1157377267
128,1494892291
129,20785827
130,1382657775
131,1268422866
132,16943627
133,16943698
134,1789070116
135,1805575346
136,16943197
137,1758254442
138,1033846528
139,34510563
140,1079114594
141,16942512
142,1629164741
143,1641733155
144,1830066906
145,1762042953
146,1265653334
147,1990402262
148,1357712308
149,38402607
150,30941236
151,1850903300
152,16946467
153,37377797
154,1337922512
155,37667753
156,1672177824
157,417578537
158,1319340337
159,1630940417
160,1410755607
161,1056333379
162,1795425439
163,258798484
164,1030212619
165,38658611
166,37275629
167,1276182136
168,1888497932
169,32500384
170,1776696379
171,1984646941
172,409755968
173,1287925761
174,16945997
175,1185316651
176,38280891
177,1976903811
178,1690250317
179,16942415
180,1154498524
181,1312555937
182,37872484
183,21758957
184,1487368949
185,1299307842
186,16942562
187,37152152
188,1184995542
189,32581730
190,1511840624
191,16946005
192,1189597441
193,21599937
194,33786371
195,20539567
196,1543207570
197,1547956935
198,1136341593
199,1439336156
200,1159221953
201,1108947626
202,1793931505
203,13450890
204,1412685410
205,36948538
206,1120513956
207,1469433728
208,1079596609
209,1479024768
210,16942541
211,38302949
212,1929980278
213,1103114498
214,1773740016
215,1012968994
216,1943651055
217,16945757
218,11800593
219,37924671
220,1947203790
221,32165909
222,1033846161
223,36920286
224,293342496
225,16946018
226,1913156885
227,85467872
228,31510537
229,1680800124
230,300619263
231,1518703384
232,1024600210
233,16941519
234,1813297172
235,1062211204
236,21270441
237,16941742
238,191137085
239,1230977211
240,1269745971
241,37348453
242,32968271
243,1021076663
244,1292661298
245,1564773819
246,16944752
247,33288718
248,38340831
249,16943505
250,1015315202
251,1518723933
252,36178060
253,16942469
254,1653470735
255,1311431988
256,16944993
257,1625392672
258,16945015
259,753671165
260,1466372151
261,16942484
262,1056566800
263,16943456
264,1788182425
265,16942554
266,19803547
267,16941735
268,13501430
269,31049636
270,16945981
271,35821254
272,1152256694
273,1399953462
274,34942163
275,16942499
276,1482402187
277,1094711966
278,1253631197
279,16947152
280,1363588260
281,1328397685
282,32432636
283,1539755714
284,1152923171
285,1011342777
286,37207732
287,16943421
288,1963672585
289,1437242470
